,label,message,length
34,spam,"['Thanks', 'subscription', 'Ringtone', 'UK', 'mobile', 'charged', '£5month', 'Please', 'confirm', 'replying', 'YES', 'reply', 'charged']",158
35,ham,"['Yup', 'Ok', 'go', 'home', 'look', 'timings', 'msg', 'ü', 'Xuhui', 'going', 'learn', '2nd', 'may', 'lesson', '8am']",122
36,ham,"['Oops', 'Ill', 'let', 'know', 'roommates', 'done']",47
37,ham,"['see', 'letter', 'B', 'car']",28
38,ham,"['Anything', 'lor', 'U', 'decide']",27
39,ham,"['Hello', 'Hows', 'saturday', 'go', 'texting', 'see', 'youd', 'decided', 'anything', 'tomo', 'im', 'trying', 'invite', 'anything']",155
40,ham,"['Pls', 'go', 'ahead', 'watts', 'wanted', 'sure', 'great', 'weekend', 'Abiola']",82
41,ham,"['forget', 'tell', 'want', 'need', 'crave', 'love', 'sweet', 'Arabian', 'steed', 'Mmmmmm', 'Yummy']",142
42,spam,"['07732584351', 'Rodger', 'Burns', 'MSG', 'tried', 'call', 'reply', 'sms', 'free', 'nokia', 'mobile', 'free', 'camcorder', 'Please', 'call', '08000930705', 'delivery', 'tomorrow']",172
43,ham,['SEEING'],19
44,ham,"['Great', 'hope', 'like', 'man', 'well', 'endowed', 'ltgt', 'inches']",72
45,ham,"['callsmessagesmissed', 'calls']",32
46,ham,"['Didnt', 'get', 'hep', 'b', 'immunisation', 'nigeria']",45
47,ham,"['Fair', 'enough', 'anything', 'going']",31
48,ham,"['Yeah', 'hopefully', 'tyler', 'cant', 'could', 'maybe', 'ask', 'around', 'bit']",67
49,ham,"['U', 'dont', 'know', 'stubborn', 'didnt', 'even', 'want', 'go', 'hospital', 'kept', 'telling', 'Mark', 'Im', 'weak', 'sucker', 'Hospitals', 'weak', 'suckers']",148
50,ham,"['thinked', 'First', 'time', 'saw', 'class']",58
51,ham,"['gram', 'usually', 'runs', 'like', 'ltgt', 'half', 'eighth', 'smarter', 'though', 'gets', 'almost', 'whole', 'second', 'gram', 'ltgt']",124
52,ham,"['K', 'fyi', 'x', 'ride', 'early', 'tomorrow', 'morning', 'hes', 'crashing', 'place', 'tonight']",80
53,ham,"['Wow', 'never', 'realized', 'embarassed', 'accomodations', 'thought', 'liked', 'since', 'best', 'could', 'always', 'seemed', 'happy', 'cave', 'Im', 'sorry', 'didnt', 'dont', 'give', 'Im', 'sorry', 'offered', 'Im', 'sorry', 'room', 'embarassing']",289
54,spam,"['SMS', 'ac', 'Sptv', 'New', 'Jersey', 'Devils', 'Detroit', 'Red', 'Wings', 'play', 'Ice', 'Hockey', 'Correct', 'Incorrect', 'End', 'Reply', 'END', 'SPTV']",120
55,ham,"['know', 'Mallika', 'Sherawat', 'yesterday', 'Find', 'ltURLgt']",76
56,spam,"['Congrats', '1', 'year', 'special', 'cinema', 'pass', '2', 'call', '09061209465', 'C', 'Suprman', 'V', 'Matrix3', 'StarWars3', 'etc', '4', 'FREE', 'bx420ip45we', '150pm', 'Dont', 'miss']",161
57,ham,"['Sorry', 'Ill', 'call', 'later', 'meeting']",34
58,ham,"['Tell', 'reached']",22
59,ham,"['Yesgauti', 'sehwag', 'odi', 'series']",40
60,ham,"['gonna', 'pick', '1', 'burger', 'way', 'home', 'cant', 'even', 'move', 'Pain', 'killing']",108
61,ham,"['Ha', 'ha', 'ha', 'good', 'joke', 'Girls', 'situation', 'seekers']",48
62,ham,"['part', 'checking', 'IQ']",25
63,ham,"['Sorry', 'roommates', 'took', 'forever', 'ok', 'come']",56
64,ham,"['Ok', 'lar', 'double', 'check', 'wif', 'da', 'hair', 'dresser', 'already', 'said', 'wun', 'cut', 'v', 'short', 'said', 'cut', 'look', 'nice']",110
65,spam,"['valued', 'customer', 'pleased', 'advise', 'following', 'recent', 'review', 'Mob', 'awarded', '£1500', 'Bonus', 'Prize', 'call', '09066364589']",152
66,ham,"['Today', 'song', 'dedicated', 'day', 'song', 'u', 'dedicate', 'Send', 'ur', 'valuable', 'frnds', 'first', 'rply']",122
67,spam,"['Urgent', 'UR', 'awarded', 'complimentary', 'trip', 'EuroDisinc', 'Trav', 'AcoEntry41', '£1000', 'claim', 'txt', 'DIS', '87121', '186£150moreFrmMob', 'ShrAcomOrSglSuplt10', 'LS1', '3AJ']",159
68,spam,"['hear', 'new', 'Divorce', 'Barbie', 'comes', 'Kens', 'stuff']",78
69,ham,"['plane', 'give', 'month', 'end']",34
70,ham,"['Wah', 'lucky', 'man', 'save', 'money', 'Hee']",46
71,ham,"['Finished', 'class']",29
72,ham,"['HI', 'BABE', 'IM', 'HOME', 'WANNA', 'SOMETHING', 'XX']",45
73,ham,"['Kkwhere', 'youhow', 'performed']",42
74,ham,"['U', 'call']",20
75,ham,"['waiting', 'machan', 'Call', 'free']",43
76,ham,"['Thats', 'cool', 'gentleman', 'treat', 'dignity', 'respect']",73
77,ham,"['like', 'peoples', 'much', 'shy', 'pa']",50
78,ham,"['operate', 'ltgt']",42
79,ham,"['Still', 'looking', 'job', 'much', 'Tas', 'earn']",76
80,ham,"['Sorry', 'Ill', 'call', 'later']",22
81,ham,"['K', 'call', 'ah']",32
82,ham,"['Ok', 'way', 'home', 'hi', 'hi']",32
83,ham,"['place', 'man']",36
84,ham,"['Yup', 'next', 'stop']",14
85,ham,"['call', 'later', 'dont', 'network', 'urgnt', 'sms']",55
86,ham,"['real', 'u', 'getting', 'yo', 'need', '2', 'tickets', 'one', 'jacket', 'Im', 'done', 'already', 'used', 'multis']",121
87,ham,"['Yes', 'started', 'send', 'requests', 'make', 'pain', 'came', 'back', 'Im', 'back', 'bed', 'Double', 'coins', 'factory', 'gotta', 'cash', 'nitros']",144
88,ham,"['Im', 'really', 'still', 'tonight', 'babe']",42
89,ham,"['Ela', 'kanoil', 'download', 'come', 'wen', 'ur', 'free']",41
90,ham,"['Yeah', 'Don‘t', 'stand', 'close', 'tho', 'you‘ll', 'catch', 'something']",58
91,ham,"['Sorry', 'pain', 'ok', 'meet', 'another', 'night', 'spent', 'late', 'afternoon', 'casualty', 'means', 'havent', 'done', 'stuff42moro', 'includes', 'time', 'sheets', 'Sorry']",195
92,ham,"['Smile', 'Pleasure', 'Smile', 'Pain', 'Smile', 'trouble', 'pours', 'like', 'Rain', 'Smile', 'sum1', 'Hurts', 'U', 'Smile', 'becoz', 'SOMEONE', 'still', 'Loves', 'see', 'u', 'Smiling']",141
93,spam,"['Please', 'call', 'customer', 'service', 'representative', '0800', '169', '6031', '10am9pm', 'guaranteed', '£1000', 'cash', '£5000', 'prize']",137
94,ham,"['Havent', 'planning', 'buy', 'later', 'check', 'already', 'lido', 'got', '530', 'show', 'e', 'afternoon', 'U', 'finish', 'work', 'already']",107
95,spam,"['free', 'ringtone', 'waiting', 'collected', 'Simply', 'text', 'password', 'MIX', '85069', 'verify', 'Get', 'Usher', 'Britney', 'FML', 'PO', 'Box', '5249', 'MK17', '92H', '450Ppw', '16']",158
96,ham,"['Watching', 'telugu', 'moviewat', 'abt', 'u']",33
97,ham,"['see', 'finish', 'loads', 'loans', 'pay']",51
98,ham,"['Hi', 'Wk', 'ok', 'hols', 'Yes', 'bit', 'run', 'Forgot', 'hairdressers', 'appointment', 'four', 'need', 'get', 'home', 'n', 'shower', 'beforehand', 'cause', 'prob', 'u']",178
99,ham,"['see', 'cup', 'coffee', 'animation']",31
100,ham,"['Please', 'dont', 'text', 'anymore', 'nothing', 'else', 'say']",57
101,ham,"['Okay', 'name', 'ur', 'price', 'long', 'legal', 'Wen', 'pick', 'u', 'ave', 'x', 'ams', 'xx']",81
102,ham,"['Im', 'still', 'looking', 'car', 'buy', 'gone', '4the', 'driving', 'test', 'yet']",76
103,ham,"['per', 'request', 'Melle', 'Melle', 'Oru', 'Minnaminunginte', 'Nurungu', 'Vettam', 'set', 'callertune', 'Callers', 'Press', '9', 'copy', 'friends', 'Callertune']",160
104,ham,"['wow', 'Youre', 'right', 'didnt', 'mean', 'guess', 'gave', 'boston', 'men', 'changed', 'search', 'location', 'nyc', 'something', 'changed', 'Cuz', 'signin', 'page', 'still', 'says', 'boston']",183
105,ham,"['Umma', 'life', 'vava', 'umma', 'love', 'lot', 'dear']",44
106,ham,"['Thanks', 'lot', 'wishes', 'birthday', 'Thanks', 'making', 'birthday', 'truly', 'memorable']",95
107,ham,"['Aight', 'Ill', 'hit', 'get', 'cash']",43
108,ham,"['would', 'ip', 'address', 'test', 'considering', 'computer', 'isnt', 'minecraft', 'server']",82
109,ham,"['know', 'Grumpy', 'old', 'people', 'mom', 'like', 'better', 'lying', 'always', 'one', 'play', 'jokes']",115
110,ham,"['Dont', 'worry', 'guess', 'hes', 'busy']",30
111,ham,"['plural', 'noun', 'research']",40
112,ham,"['Going', 'dinnermsg']",31
113,ham,"['Im', 'ok', 'wif', 'cos', 'like', '2', 'try', 'new', 'things', 'scared', 'u', 'dun', 'like', 'mah', 'Cos', 'u', 'said', 'loud']",96
114,spam,"['GENT', 'trying', 'contact', 'Last', 'weekends', 'draw', 'shows', '£1000', 'prize', 'GUARANTEED', 'Call', '09064012160', 'Claim', 'Code', 'K52', 'Valid', '12hrs', '150ppm']",158
115,ham,"['Wa', 'ur', 'openin', 'sentence', 'formal', 'Anyway', 'im', 'fine', 'juz', 'tt', 'im', 'eatin', 'much', 'n', 'puttin', 'weightHaha', 'anythin', 'special', 'happened']",143
116,ham,"['entered', 'cabin', 'PA', 'said', 'Happy', 'Bday', 'Boss', 'felt', 'special', 'askd', '4', 'lunch', 'lunch', 'invited', 'apartment', 'went']",156
117,spam,"['winner', 'U', 'specially', 'selected', '2', 'receive', '£1000', '4', 'holiday', 'flights', 'inc', 'speak', 'live', 'operator', '2', 'claim', '0871277810910pmin', '18']",152
118,ham,"['Goodo', 'Yes', 'must', 'speak', 'friday', 'eggpotato', 'ratio', 'tortilla', 'needed']",72
119,ham,"['Hmmmy', 'uncle', 'informed', 'hes', 'paying', 'school', 'directly', 'pls', 'buy', 'food']",86
120,spam,"['PRIVATE', '2004', 'Account', 'Statement', '07742676969', 'shows', '786', 'unredeemed', 'Bonus', 'Points', 'claim', 'call', '08719180248', 'Identifier', 'Code', '45239', 'Expires']",144
121,spam,"['URGENT', 'Mobile', 'awarded', '£2000', 'Bonus', 'Caller', 'Prize', '5903', 'final', 'try', 'contact', 'U', 'Call', 'Landline', '09064019788', 'BOX42WR29C', '150PPM']",156
122,ham,"['new', 'address', 'applespairsall', 'malarky']",53
123,spam,"['Todays', 'Voda', 'numbers', 'ending', '7548', 'selected', 'receive', '350', 'award', 'match', 'please', 'call', '08712300220', 'quoting', 'claim', 'code', '4041', 'standard', 'rates', 'app']",156
124,ham,"['going', 'sao', 'mu', 'today', 'done', '12']",52
125,ham,"['Ü', 'predict', 'wat', 'time', 'üll', 'finish', 'buying']",38
126,ham,"['Good', 'stuff']",20
127,ham,"['knowyetunde', 'hasnt', 'sent', 'money', 'yet', 'sent', 'text', 'bother', 'sending', 'dont', 'involve', 'anything', 'shouldnt', 'imposed', 'anything', 'first', 'place', 'apologise']",244
128,ham,['room'],22
129,ham,"['HEY', 'GIRL', 'R', 'U', 'HOPE', 'U', 'R', 'WELL', 'DEL', 'R', 'BAK', 'LONG', 'TIME', 'C', 'GIVE', 'CALL', 'SUM', 'TIME', 'LUCYxx']",107
130,ham,"['Kkhow', 'much', 'cost']",28
131,ham,"['Im', 'home']",9
132,ham,"['Dear', 'call', 'Tmorrowpls', 'accomodate']",39
133,ham,"['First', 'answer', 'question']",25
134,spam,"['Sunshine', 'Quiz', 'Wkly', 'Q', 'Win', 'top', 'Sony', 'DVD', 'player', 'u', 'know', 'country', 'Algarve', 'Txt', 'ansr', '82277', '£150', 'SPTyrone']",125
135,spam,"['Want', '2', 'get', 'laid', 'tonight', 'Want', 'real', 'Dogging', 'locations', 'sent', 'direct', '2', 'ur', 'mob', 'Join', 'UKs', 'largest', 'Dogging', 'Network', 'bt', 'Txting', 'GRAVEL', '69888', 'Nt', 'ec2a', '31pmsg150p']",162
136,ham,"['haf', 'msn', 'yijuehotmailcom']",38
137,ham,"['call', 'meet']",34
138,ham,"['check', 'rooms', 'befor', 'activities']",46
139,spam,"['Youll', 'rcv', 'msgs', 'chat', 'svc', 'FREE', 'Hardcore', 'services', 'text', 'GO', '69988', 'u', 'get', 'nothing', 'u', 'must', 'Age', 'Verify', 'yr', 'network', 'try']",155
140,ham,"['Got', 'c', 'lazy', 'type', 'forgot', 'ü', 'lect', 'saw', 'pouch', 'like', 'v', 'nice']",85
141,ham,"['K', 'text', 'youre', 'way']",33
142,ham,"['Sir', 'Waiting', 'mail']",27
143,ham,"['swt', 'thought', 'Nver', 'get', 'tired', 'little', 'things', '4', 'lovable', 'persons', 'Cozsomtimes', 'little', 'things', 'occupy', 'biggest', 'part', 'Hearts', 'Gud', 'ni8']",156
144,ham,"['know', 'pls', 'open', 'back']",42
145,ham,"['Yes', 'see', 'ya', 'dot']",25
146,ham,"['Whats', 'staff', 'name', 'taking', 'class', 'us']",48
147,spam,"['FreeMsg', 'havent', 'replied', 'text', 'Im', 'Randy', 'sexy', 'female', 'live', 'local', 'Luv', 'hear', 'u', 'Netcollex', 'Ltd', '08700621170150p', 'per', 'msg', 'reply', 'Stop', 'end']",159
148,ham,"['Ummmawill', 'call', 'check', 'inour', 'life', 'begin', 'qatar', 'pls', 'pray', 'hard']",84
149,ham,"['Ki', 'deleted', 'contact']",33
150,ham,"['Sindu', 'got', 'job', 'birla', 'soft']",30
151,ham,"['wine', 'flowing', 'im', 'nevering']",45
152,ham,"['Yup', 'thk', 'cine', 'better', 'cos', 'need', '2', 'go', '2', 'plaza', 'mah']",59
153,ham,"['Ok', 'Ur', 'typical', 'reply']",25
154,ham,"['per', 'request', 'Melle', 'Melle', 'Oru', 'Minnaminunginte', 'Nurungu', 'Vettam', 'set', 'callertune', 'Callers', 'Press', '9', 'copy', 'friends', 'Callertune']",160
155,ham,"['everywhere', 'dirt', 'floor', 'windows', 'even', 'shirt', 'sometimes', 'open', 'mouth', 'comes', 'flowing', 'dream', 'world', 'without', 'half', 'chores', 'time', 'joy', 'lots', 'tv', 'shows', 'ill', 'see', 'guess', 'like', 'things', 'must', 'exist', 'like', 'rain', 'hail', 'mist', 'time', 'done', 'become', 'one']",384
156,ham,"['Aaooooright', 'work']",28
157,ham,"['Im', 'leaving', 'house']",27
158,ham,"['Hello', 'love', 'get', 'interview', 'today', 'happy', 'good', 'boy', 'think', 'meAre', 'missing']",157
159,spam,"['Customer', 'service', 'annoncement', 'New', 'Years', 'delivery', 'waiting', 'Please', 'call', '07046744435', 'arrange', 'delivery']",124
160,spam,"['winner', 'U', 'specially', 'selected', '2', 'receive', '£1000', 'cash', '4', 'holiday', 'flights', 'inc', 'speak', 'live', 'operator', '2', 'claim', '0871277810810']",145
161,ham,"['Keep', 'safe', 'need', 'miss', 'already', 'envy', 'everyone', 'sees', 'real', 'life']",115
162,ham,"['New', 'car', 'house', 'parentsi', 'new', 'job', 'hand']",64
163,ham,"['Im', 'love', 'Im', 'excited', 'day', 'spend', 'make', 'happy']",85
164,spam,"['PLS', 'STOP', 'bootydelious', '32F', 'inviting', 'friend', 'Reply', 'YES434', 'NO434', 'See', 'wwwSMSacubootydelious', 'STOP', 'Send', 'STOP', 'FRND', '62468']",152
165,spam,"['BangBabes', 'Ur', 'order', 'way', 'U', 'receive', 'Service', 'Msg', '2', 'download', 'UR', 'content', 'U', 'GoTo', 'wap', 'bangb', 'tv', 'UR', 'mobile', 'internetservice', 'menu']",155
166,ham,"['place', 'ur', 'points', 'e', 'cultures', 'module', 'already']",51
167,spam,"['URGENT', 'trying', 'contact', 'Last', 'weekends', 'draw', 'shows', '£900', 'prize', 'GUARANTEED', 'Call', '09061701939', 'Claim', 'code', 'S89', 'Valid', '12hrs']",156
168,ham,"['Hi', 'frnd', 'best', 'way', 'avoid', 'missunderstding', 'wit', 'beloved', 'ones']",74
169,ham,"['Great', 'escape', 'fancy', 'bridge', 'needs', 'lager', 'See', 'tomo']",67
170,ham,"['Yes', 'completely', 'formclark', 'also', 'utter', 'waste']",59
171,ham,"['Sir', 'need', 'AXIS', 'BANK', 'account', 'bank', 'address']",50
172,ham,"['Hmmm', 'Thk', 'sure', 'got', 'time', 'hop', 'ard', 'Ya', 'go', '4', 'free', 'abt', 'Muz', 'call', 'u', 'discuss', 'liao']",94
173,ham,"['time', 'coming', 'later']",33
174,ham,"['Bloody', 'hell', 'cant', 'believe', 'forgot', 'surname', 'Mr', 'Ill', 'give', 'u', 'clue', 'spanish', 'begins']",105
175,ham,"['Well', 'im', 'gonna', 'finish', 'bath', 'goodfine', 'night']",61
176,ham,"['Let', 'know', 'youve', 'got', 'money', 'carlos', 'make', 'call']",65
177,ham,"['U', 'still', 'going', 'mall']",26
178,ham,"['Turns', 'friends', 'staying', 'whole', 'show', 'wont', 'back', 'til', 'ltgt', 'feel', 'free', 'go', 'ahead', 'smoke', 'ltgt', 'worth']",146
179,ham,"['Text', 'doesnt', 'reply', 'let', 'know', 'log']",66
180,ham,"['Hi', 'spoke', 'MANEESHA', 'V', 'Wed', 'like', 'know', 'satisfied', 'experience', 'Reply', 'Toll', 'Free', 'Yes']",126
181,ham,"['lifted', 'hopes', 'offer', 'money', 'need', 'Especially', 'end', 'month', 'approaches', 'hurts', 'studying', 'Anyways', 'gr8', 'weekend']",159
182,ham,"['Lol', 'U', 'trust']",23
183,ham,"['ok', 'gentleman', 'treat', 'dignity', 'respect']",65
184,ham,"['guys', 'close']",24
185,ham,"['Going', 'nothing', 'greatbye']",26
186,ham,"['Hello', 'handsome', 'finding', 'job', 'lazy', 'Working', 'towards', 'getting', 'back', 'net', 'mummy', 'Wheres', 'boytoy', 'miss']",152
187,ham,"['Haha', 'awesome', 'minute']",34
188,spam,"['Please', 'call', 'customer', 'service', 'representative', 'FREEPHONE', '0808', '145', '4742', '9am11pm', 'guaranteed', '£1000', 'cash', '£5000', 'prize']",147
189,ham,"['got', 'Xmas', 'radio', 'times', 'get']",55
190,ham,"['jus', 'reached', 'home', 'go', 'bathe', 'first', 'sis', 'using', 'net', 'tell', 'u', 'finishes', 'k']",88
191,spam,"['unique', 'enough', 'Find', '30th', 'August', 'wwwareyouuniquecouk']",72
192,ham,"['Im', 'sorry', 'Ive', 'joined', 'league', 'people', 'dont', 'keep', 'touch', 'mean', 'great', 'deal', 'friend', 'times', 'even', 'great', 'personal', 'cost', 'great', 'week']",185
193,ham,"['Hi', 'finally', 'completed', 'course']",37
194,ham,"['stop', 'however', 'suggest', 'stays', 'someone', 'able', 'give', 'ors', 'every', 'stool']",111
195,ham,"['Hope', 'youve', 'settled', 'new', 'school', 'year', 'wishin', 'gr8', 'day']",92
196,ham,"['Gud', 'mrng', 'dear', 'hav', 'nice', 'day']",28
197,ham,"['u', 'got', 'persons', 'story']",28
198,ham,"['hamster', 'dead', 'Hey', 'tmr', 'meet', '1pm', 'orchard', 'mrt']",64
199,ham,"['Hi', 'Kate', 'evening', 'hope', 'see', 'tomorrow', 'bit', 'bloody', 'babyjontet', 'Txt', 'back', 'u', 'xxx']",131
200,ham,"['Found', 'ENC', 'ltgt']",40
201,ham,"['sent', 'ltgt', 'bucks']",28
202,ham,"['Hello', 'darlin', 'ive', 'finished', 'college', 'txt', 'u', 'finish', 'u', 'love', 'Kate', 'xxx']",84
203,ham,"['account', 'refilled', 'successfully', 'INR', 'ltDECIMALgt', 'KeralaCircle', 'prepaid', 'account', 'balance', 'Rs', 'ltDECIMALgt', 'Transaction', 'ID', 'KR', 'ltgt']",174
204,ham,"['Goodmorning', 'sleeping', 'ga']",24
205,ham,"['U', 'call', 'alter', '11', 'ok']",25
206,ham,"['Ü', 'say', 'like', 'dat', 'dun', 'buy', 'ericsson', 'oso', 'cannot', 'oredi', 'lar']",63
207,ham,"['entered', 'cabin', 'PA', 'said', 'Happy', 'Bday', 'Boss', 'felt', 'special', 'askd', '4', 'lunch', 'lunch', 'invited', 'apartment', 'went']",156
208,ham,"['Aight', 'yo', 'dats', 'straight', 'dogg']",28
209,ham,"['please', 'give', 'us', 'connection', 'today', 'ltDECIMALgt', 'refund', 'bill']",86
210,ham,"['shoot', 'big', 'loads', 'get', 'ready']",39
211,ham,"['Whats', 'bruv', 'hope', 'great', 'break', 'rewarding', 'semester']",73
212,ham,"['Home', 'always', 'chat']",26
213,ham,"['Kkgoodstudy', 'well']",23
214,ham,"['Yup', 'ü', 'noe', 'leh']",23
215,ham,"['Sounds', 'great', 'home']",31
216,ham,"['Finally', 'match', 'heading', 'towards', 'draw', 'prediction']",58
217,ham,"['Tired', 'havent', 'slept', 'well', 'past', 'nights']",48
218,ham,"['Easy', 'ahsen', 'got', 'selected', 'means', 'good']",41
219,ham,"['take', 'exam', 'march', '3']",32
220,ham,"['Yeah', 'think', 'use', 'gt', 'atm', 'register', 'sure', 'theres', 'anyway', 'help', 'let', 'know', 'sure', 'ready']",159
221,ham,"['Ok', 'prob', 'Take', 'ur', 'time']",25
222,ham,"['os', 'called', 'ubandu', 'run', 'without', 'installing', 'hard', 'diskyou', 'use', 'os', 'copy', 'important', 'files', 'system', 'give', 'repair', 'shop']",161
223,ham,"['Sorry', 'Ill', 'call', 'later']",22
224,ham,"['U', 'say', 'leh', 'course', 'nothing', 'happen', 'lar', 'say', 'v', 'romantic', 'jus', 'bit', 'lor', 'thk', 'e', 'nite', 'scenery', 'nice', 'leh']",119
225,spam,"['500', 'New', 'Mobiles', '2004', 'MUST', 'GO', 'Txt', 'NOKIA', '89545', 'collect', 'todayFrom', '£1', 'www4tcbiz', '2optout', '08718726270150gbpmtmsg18']",142
226,ham,"['Would', 'really', 'appreciate', 'call', 'need', 'someone', 'talk']",69
227,spam,"['u', 'meet', 'ur', 'dream', 'partner', 'soon', 'ur', 'career', '2', 'flyng', 'start', '2', 'find', 'free', 'txt', 'HORO', 'followed', 'ur', 'star', 'sign', 'e', 'g', 'HORO', 'ARIES']",137
228,ham,"['Hey', 'company', 'elama', 'po', 'mudyadhu']",30
229,ham,"['Life', 'strict', 'teacher', 'Bcoz', 'Teacher', 'teaches', 'lesson', 'amp', 'conducts', 'exam', 'Life', 'first', 'conducts', 'Exam', 'amp', 'teaches', 'Lessons', 'Happy', 'morning']",165
230,ham,"['Dear', 'good', 'morning']",34
231,ham,"['Get', 'gandhipuram', 'walk', 'cross', 'cut', 'road', 'Right', 'side', 'ltgt', 'street', 'road', 'turn', 'first', 'right']",109
232,ham,"['Dear', 'going', 'rubber', 'place']",37
233,ham,"['Sorry', 'battery', 'died', 'yeah', 'Im']",33
234,ham,"['Yeshere', 'tv', 'always', 'available', 'work', 'place']",48
235,spam,"['Text', 'meet', 'someone', 'sexy', 'today', 'U', 'find', 'date', 'even', 'flirt', 'U', 'Join', '4', '10p', 'REPLY', 'NAME', 'AGE', 'eg', 'Sam', '25', '18', 'msg', 'recdthirtyeight', 'pence']",157
236,ham,"['printed', 'oh', 'ltgt', 'come', 'upstairs']",50
237,ham,"['ill', 'little', 'closer', 'like', 'bus', 'stop', 'street']",65
238,ham,"['youwhen', 'wil', 'reach']",38
